Book,Chapter,Chapter Title,Scene,Scene Title,Start Date,Day,Duration,What happens,Characters,Milestone,Note,POV,Central theme,Motifs,Mood,Weather,Setting,Keywords,Tension,Purpose,Chapter theme,Arc theme,Book theme
Book 1,17,Retreat,Scene 3,Pool party,"Saturday, May 20, 2017 (est.)",Saturday (Day 2),1 day,"Hungover, Jay recovers under Ian's quiet care — water, painkillers, coffee — and at the pool Ian's swimming reveals a physique that sharpens Jay's awareness of his attraction.","Ian, Jay",,,,,,,,,,,,,,
Book 1,17,Retreat,Scene 4,Scuba diving,"Saturday, May 20, 2017",Saturday,same day,"Jay conquers his first scuba dive under Ian's and Zoe's patient guidance, the reef transformative. The beach bonfire dinner and a quiet fireside whiskey deepen the domesticity growing between them.","Ian, Jay, Zoe",,,,,,,,,,,,,,
Book 1,17,Retreat,Scene 5,Finale,"Sunday, May 21, 2017 (est.)",Sunday (Day 3),1 day,"Ian's puzzle-solving wins the team coveted concert tickets in the treasure hunt; the retreat ends and an emboldened Jay decides to attend Ema's graduation. At home, Ian clears a wall for the painting Jay admired.","Ian, Jay, Ema",Company retreat ends,,,,,,,,,,,,,
Book 1,18,Artistic merits,Scene 1,After the retreat,"Monday, May 22, 2017 (est.)",Monday,1 day,The office buzzes with retreat photos and diving footage; Ian approves Jay's day off for Ema's June graduation and offers a company car for the trip.,"Ian, Jay, Ema",,,,,,,,,,,,,,
Book 1,18,Artistic merits,Scene 2,Tickets,"Wednesday, May 24, 2017 (est.)",Wednesday–Friday,~3 days,"Concert-ticket fever takes over the office; Ian gives his pair to Kim and Ela, then is roped by Max into attending the show with the whole team.","Ian, Ela, Kim, Max",,,,,,,,,,,,,,
Book 1,18,Artistic merits,Scene 3,Concert night,"Friday, June 2, 2017 (est.)",Friday,1 day,"The team descends on the underground club Substrate, where Leo turns up — having planted the prize himself — and the punishing experimental set bewilders Jay.","Jay, Leo",Underground concert at Substrate,,,,,,,,,,,,,
Book 1,18,Artistic merits,Scene 4,Respite,"Friday, June 2, 2017 (night)",Friday,same night,"Jay and Ian retreat to the bar and bond over their shared philistine bafflement; Ian reveals he played violin seriously through college, then drives Jay home.","Ian, Jay",,,,,,,,,,,,,,
Book 1,18,Artistic merits,Scene 5,Early June,early-to-mid June 2017 (est.),early June,~2 weeks,"A brutal heat wave drives Jay to the air-conditioned office every evening alongside Ian; he keeps up his gym sessions, takes driving lessons for the trip home, and starts browsing apartment listings. Real-world note: corroborated — June 2017 brought a record Western-European heatwave (upper 30s °C in Germany, peaking 23–24 June). Play it as a real, record-breaking summer. See `timeline/real-world-reference.md`.","Ian, Jay",,,,,,,,,,,,,,
Book 1,19,Family,Scene 1,Mundane tasks,mid-June 2017 (est.),June (slow season),~1 week,"In the languid summer lull Jay reorganizes the filing system and broadens his grasp of how the firm operates, while the heat reshapes the lunch debate around air-conditioning quality.",Jay,,,,,,,,,,,,,,
Book 1,19,Family,Scene 2,The Family Visit,"Thursday, June 22, 2017 (est.)",Thursday–Sunday,4 days,"Jay drives the company ""limousine"" home for Ema's Friday graduation; the luxury car and designer clothes make him a sensation and he completely overshadows her, staying an extra day to ferry her friends around.","Jay, Ema",Ema's graduation (Jay visits family),"Ch18 names the date ""June twenty-fourth (a Friday),"" but June 24, 2017 is a Saturday; the ceremony reads as Friday, so dated Fri Jun 23 — see flags.",,,,,,,,,,,,
Book 1,19,Family,Scene 3,Photos,"Monday, June 26, 2017 (est.)",Monday–Tuesday,2 days,"Jay sets a family photo on his desk; when his own attempts to photograph the office for Ema fail comically, Ian steps in to take proper shots — including a candid selfie Jay quietly treasures.","Ian, Jay, Ema",Ian and Jay's office selfie,,,,,,,,,,,,,
Book 1,19,Family,Scene 4,Holiday season,early July 2017 (est.),early July,~1 week,"July opens with Q2 quarterly reporting and a second quarterly bonus; as colleagues scatter on summer leave, Jay refuses to file his own vacation unless Ian finally takes time off too.","Ian, Jay",Q2 quarterly reports; second quarterly bonus,,,,,,,,,,,,,
Book 1,19,Family,Scene 5,Ambience,"Friday, July 7, 2017 (est.)",Friday (evening),1 day,"At the outdoor summer quarterly party Jay and Ian share a quiet fountain-side moment under the torchlight; Luc warns him, pointedly, about the perils of office romance.","Ian, Jay, Luc",Summer quarterly party,,,,,,,,,,,,,
Book 1,20,Milestones,Scene 1,Thirty and debt-free,"Saturday, July 14, 2017",Saturday,1 day,"Jay turns thirty and reaches his goal of being completely debt-free, celebrating with a punishing birthday workout from Rus and his first-ever social-media post. Across the city, Ian agonizes over — and never sends — a birthday text.","Ian, Jay",Jay's 30th birthday; becomes debt-free,"The text says July 14 ""fell on a Saturday""; in 2017 it is a Friday — see flags.",,,,,,,,,,,,
Book 1,20,Milestones,Scene 2,A life made,"Monday, July 17, 2017 (est.)",Monday,1 day,"Newly thirty, Jay reflects on how completely his year has transformed him and handles an urgent Wentworth consultation with ease, feeling he genuinely belongs.",Jay,,,,,,,,,,,,,,
Book 1,20,Milestones,Scene 3,Conventional wisdom,"Tuesday, July 18, 2017 (est.)",Tuesday–Saturday,~1 week,"Ian notices Jay's standing Tuesday gym departure, and their unhurried evening conversations edge toward real friendship; Jay shrugs off Rus's nudges toward a more balanced life.","Ian, Jay",,,,,,,,,,,,,,
Book 1,20,Milestones,Scene 4,Relationship woes,late July 2017 (est.),late July,~1 week,"Kim and Ela return from their not-so-secret shared vacation; Luc confides his fraying relationship, and Jay recognizes that his own reason for staying has become belonging, not ambition.","Jay, Ela, Luc, Kim",,,,,,,,,,,,,,
Book 1,20,Milestones,Scene 5,One year,"Thursday, August 3, 2017 (est.)",Thursday,1 day,"At his one-year review Ian re-offers the analyst role — Jay again declines — and gives him an extravagant watch, part anniversary gift, part apology for his first-year failures. That night Ian finally admits to himself that he is hopelessly in love with Jay.","Ian, Jay",One-year anniversary at Turner & Associates; Ian's watch gift — end of Book 1,,,,,,,,,,,,,
Book 2,21,Summer heat,Scene 1,Vigilance,"Friday, August 4, 2017 (est.)",Friday,1 day,"The morning after privately admitting he is hopelessly in love (Book 1's close), Ian skips lunch and broods; Jay notices, brings him soup and then ginger-mint lemonade, openly fussing over Ian's health for the first time. The boss/assistant dynamic has quietly inverted.","Ian, Jay",,Picks up immediately from Book 1 Ch20.,,,,,,,,,,,,
Book 2,21,Summer heat,Scene 2,Planned departures,"Monday, August 7, 2017 (est.)",Monday–Friday,~1 week,Ian resolves to manage his feelings by ensuring Jay's flourishing. By week's end he schedules a week of leave for the **last week of October**; Jay coordinates the same dates and books a tropical beginner-diving vacation (Lagoon Belt). Zoe returns from her own diving trip and offers to help Jay prepare.,"Ian, Jay, Zoe",Ian takes vacation for the first time; Jay books his solo diving trip,,,,,,,,,,,,,
Book 2,21,Summer heat,Scene 3,Diving lesson,"Thursday, August 17, 2017 (est.)",Thursday,1 day,"Jay's first local diving lesson with instructor Ina, Zoe along for support; dinner afterward turns into a real conversation about apartment-hunting and city life. Ian sits alone in the office, recognizing his feeling as something close to jealousy.","Ian, Jay, Zoe",Jay and Zoe's friendship begins,,,,,,,,,,,,,
Book 2,21,Summer heat,Scene 4,Sunset brooding,"Friday, August 18, 2017 (est.)",Friday,1 day,"A small, warm morning exchange about the diving lesson sustains Ian all day; he stalls at his desk to keep Jay near and is needled by an irrational jealousy when Zoe shares her number with Jay. August heat lies over the financial district.","Ian, Jay, Zoe",,,,,,,,,,,,,,
Book 2,21,Summer heat,Scene 5,Weekend exploration,"Saturday, August 19, 2017 (est.)",Saturday,1 day,"Jay and Zoe spend a brutally hot Saturday touring neighbourhoods for Jay's apartment search; over dinner Zoe comes out as gay (she too chose Turner & Associates for Ian's anti-romance reputation), and Jay, prompted, recognizes himself as ""ace."" A genuine friendship forms.","Ian, Jay, Zoe",Zoe comes out; Jay first considers himself asexual,,,,,,,,,,,,,
Book 2,22,Schemer and imp,Scene 1,Travel anxiety,"Monday, August 21, 2017 (est.)",Monday–Friday,~1 week,"With Max and Luc now on holiday, Jay spirals over the October trip (he has never flown or left the country). Mid-week Ian reassures him; on **Friday (Aug 25)** Ian announces a business trip to the **New Continent (Garnet Ridge Group) for the end of September** and invites Jay as a ""training opportunity"" — really to ease Jay's travel fears.","Ian, Jay, Luc, Max",New Continent business trip arranged,Overlaps Ch21's final days — see flags.,,,,,,,,,,,,
Book 2,22,Schemer and imp,Scene 2,Wishful thinking,"Saturday, August 26, 2017 (est.)",Saturday (evening),same night,"Leo turns up at Ian's penthouse with scotch and teases him mercilessly about engineering ""alone time"" with Jay, insisting Jay is ""head over heels"" in love. After Leo leaves, Ian breaks months of control and, for the first time, lets himself fantasize.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 2,22,Schemer and imp,Scene 3,Meddling,"Monday, August 28, 2017 (est.)",Monday,1 day,"Leo corners Jay to arrange ""international face"" grooming — celebrity stylist and tailor appointments on the company account — and, more seriously, warns Jay to be gentle with Ian's fragile, guarded heart. The seed of ""what if Ian feels something"" is planted.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 2,22,Schemer and imp,Scene 4,Tailor,"Saturday, September 2, 2017 (est.)",Saturday,1 day,"Jay's first fitting at **Saviour & Sons**, the city's most patronizing tailor (Leo's choice); the staff treat him as a ""project"" to be made attractive, and the humiliation reopens his class wound. He retreats to Café Lemon and Fay's warmth to recover.","Jay, Leo","First tailor fitting (the ""three-piece suits"" commissioned)",,,,,,,,,,,,,
Book 2,22,Schemer and imp,Scene 5,End of August,"Monday, August 28, 2017 (est.)",Monday onward (~1.5 weeks),~10 days,"Max and Luc return to full staffing; the late-summer heat breaks. Jay reclaims a normal life — Tuesday gym, café visits, swimming, his **second diving lesson (Fri Sep 1)** — and endures the **second tailor fitting (Sat Sep 2)**. Ian quietly mourns losing their late evenings together.","Ian, Jay, Luc, Max",,"The ""end of August"" label runs a few days into early September; the tailor-fitting spacing is inconsistent across chapters — see flags.",,,,,,,,,,,,
Book 2,23,Fragility,Scene 1,Wounded pride,"Monday, September 4, 2017 (est.)",Monday–Friday,1 week,"""When September started,"" the weather turns lovely but Jay, stung by the tailor's contempt, withdraws — leaving at five for parks, gym, café, swimming, and his **third diving lesson (Fri Sep 8)**. Ian notices the new chill and can't place its cause.","Ian, Jay",,,,,,,,,,,,,,
Book 2,23,Fragility,Scene 2,Confusion,"Monday, September 11, 2017 (est.)",Monday–Friday,1 week,"Luc takes sudden week-long sick leave; Jay covers his work, staying late with Ian again under a strange new tension. On Friday Jay finally asks Ian whether he's done something wrong; both deflect, each privately fearing the worst.","Ian, Jay, Luc",,,,,,,,,,,,,,
Book 2,23,Fragility,Scene 3,Unspoken things,"Saturday, September 16, 2017 (est.)",Saturday–Friday,~1 week,"Saturday brings the gym and the **final tailor fitting**; Sunday the **fourth diving lesson**. Luc returns Monday looking gutted. Jay postpones his apartment search to November as a week of ""performed civility"" with Ian grinds on.","Ian, Jay, Luc",Tailoring complete,,,,,,,,,,,,,
Book 2,23,Fragility,Scene 4,Sleepover,"Friday, September 22, 2017 (est.)",Friday–Saturday,overnight,"Luc texts late and Jay goes to his (absurdly lavish, four-roommate) flat with whiskey; Luc reveals his eight-year partner Cam dumped him. They trade their worst breakups (Jay's college humiliation), and Jay stays the night — his first-ever sleepover at thirty.","Jay, Luc",Luc's breakup; Jay and Luc's friendship deepens,,,,,,,,,,,,,
Book 2,23,Fragility,Scene 5,Getting ready,"Monday, September 25, 2017 (est.)",Monday–Thursday,~4 days,"Luc improves; the team showers Jay with travel advice. Jay collects his three-piece suits **(Wed Sep 27)**, the celebrity haircut **(Thu Sep 28 a.m.)**, posts a ""First business trip"" selfie for Ema, and is ready for the afternoon departure.","Jay, Luc, Ema",,,,,,,,,,,,,,
Book 2,24,Business trip,Scene 1,Departure,"Thursday, September 28, 2017",Thursday,1 day,"A limousine collects Jay at noon. In the car Ian explains he is ""a pariah in high society"" — banned from Saviour & Sons himself since his scandal — recasting Jay's humiliation. Ian promises a Saturday shopping trip for Jay's siblings.","Ian, Jay",New Continent business trip begins (Jay's first flight),"Departs end of September, ""before the chaos of quarter-end in October.""",,,,,,,,,,,,
Book 2,24,Business trip,Scene 2,Plane flight,"Thursday, September 28, 2017",Thursday,same day,"Jay's first flight — an eight-hour business-class trip — goes smoothly; he blurts that ""having you here makes everything better."" They arrive at the five-star hotel (adjacent rooms) at 5 p.m. local time; Ian force-marches Jay through dinner to beat the jet lag.","Ian, Jay",,,,,,,,,,,,,,
Book 2,24,Business trip,Scene 3,Business meetings and late-night drinks,"Friday, September 29, 2017",Friday,1 day,"A full day with CEO Mac Cartwright. At the boisterous client dinner a drunk executive, **Zac**, calls Jay a ""beautiful escort""; Ian's fury is instant and he terminates the deal on the spot. Unable to sleep, the two share a quiet midnight whiskey at the hotel bar.","Ian, Jay, Mac","The ""escort"" insult; Ian kills the deal",,,,,,,,,,,,,
Book 2,24,Business trip,Scene 4,Apologies,"Saturday, September 30, 2017",Saturday,1 day,"Mac fires Zac, apologizes publicly, and salvages the partnership with a tech-lab tour and a prototype laptop gifted to Jay. Ian keeps his promise: an afternoon shopping spree (company card) for sibling gifts, then dinner atop the city's tallest building.","Ian, Jay, Mac",Deal saved; sibling shopping spree,,,,,,,,,,,,,
Book 2,24,Business trip,Scene 5,Journey Home,"Sunday, October 1, 2017",Sunday → early Monday,~1 day of travel,"A six-hour weather delay strands them in the airport, where an exhausted, defenceless Jay confesses his impostor feelings and Ian counters that ""harassment is the harasser's fault."" They land home around 3 a.m. **Monday, October 2**; both take the day to recover.","Ian, Jay",Return from New Continent,,,,,,,,,,,,,
Book 2,25,Tropical heat,Scene 1,Reset,"Tuesday, October 3, 2017",Tuesday,1 day,"Jay returns to a studio overflowing with luggage and ten suits. At the office he and Ian process the trip; Jay resolves he wants to be Ian's ""anchor"" — someone dependable for a man the world treated too harshly.","Ian, Jay",,"The narration's ""with the month drawing to a close"" reads as late September, but the firm anchors place this in early October — see flags.",,,,,,,,,,,,
Book 2,25,Tropical heat,Scene 2,Souvenirs,"Tuesday, October 3, 2017",Tuesday,same day,"Jay distributes souvenirs (and comfort chocolate for Luc), notably more confident and outgoing — even proposing a future ""something fun."" He gives gifts to Rus and Fay on his way home.","Jay, Luc",,,,,,,,,,,,,,
Book 2,25,Tropical heat,Scene 3,The grind,"Monday, October 9, 2017 (est.)",Monday → following Friday,~10 days,"Q3 quarterly reports hit ""like a plague""; the quarterly bonus lands almost unnoticed. Ten brutal days (including the weekend) keep Jay and Ian constantly surrounded by the team, smothering the private time Ian had hoped for. Reports go out **Thursday (Oct 12)**; the spent team drifts through the **autumn quarterly party (Fri Oct 13)**.","Ian, Jay",Q3 reports; quarterly bonus; autumn quarterly party,,,,,,,,,,,,,
Book 2,25,Tropical heat,Scene 4,Recovery and preparation,"Saturday, October 14, 2017 (est.)",Saturday onward (~2 weeks),~2 weeks,"Jay patches things up with his family by phone (and gifts his old laptop to Ari), rebuilds his gym routine with Rus, and **finishes the diving course** with Ina. Evening coffee conversations with Ian resume at a sustainable pace.","Ian, Jay, Ari",,,,,,,,,,,,,,
Book 2,25,Tropical heat,Scene 5,Vacation,"Saturday, October 28, 2017 (est.)",Saturday → Saturday,~8 days,"After warm farewells (and a charged near-goodbye with Ian), Jay flies solo to Lagoon Belt. He earns his **open-water certification**, proves solo travel is not just survivable but enjoyable, and returns **Saturday, November 4** to chilly autumn air — Halloween having passed entirely while he was away.","Ian, Jay",Solo diving vacation; open-water certification,"""Last week of October"" is approximate — the trip spans **Halloween (Tue Oct 31)** and ends in early November; see flags.",,,,,,,,,,,,
Book 2,26,Uncharted territories,Scene 1,Return,"Monday, November 6, 2017",Monday,1 day,"Tanned and confident, Jay returns to find his postcard (""wish you were here"") pinned to Ian's calendar. Ian — having spent his own week alone, walking his old university town and finally accepting he is in love — resolves to simply love Jay ""from the shadows.""","Ian, Jay",Jay back from vacation; Ian privately commits to the status quo,,,,,,,,,,,,,
Book 2,26,Uncharted territories,Scene 2,Evening chat,"Monday, November 6, 2017",Monday–Tuesday,2 days,"A long extended evening conversation about the trip and Jay's housing plans. Tuesday's gym session reveals Fay is out with early flu; Jay reminds himself to book a flu shot and calls his family, warm and content.",Jay,,,,,,,,,,,,,,
Book 2,26,Uncharted territories,Scene 3,Planning activities,"Friday, November 10, 2017 (est.)",Friday → following Thursday,~1 week,"Luc calls in Jay's promised ""something fun."" Ian deadpans ""fencing""; Jay, against all sense, **books a group fencing session for the following Friday** and ropes in Rus and his gym friends. Thursday he finally schedules apartment viewings.","Ian, Jay, Luc",,,,,,,,,,,,,,
Book 2,26,Uncharted territories,Scene 4,Melee combat,"Friday, November 17, 2017 (est.)",Friday,1 day,The fencing night turns into Luc's flatmates vs. Rus's crew; Jay loses every match but his team (anchored by ex-military Van) wins. Drinks and war stories follow; Jay realizes he's made real outside-of-work friends.,"Jay, Luc",Fencing night; Jay's friendship with Rus's circle,,,,,,,,,,,,,
Book 2,26,Uncharted territories,Scene 5,House hunting,"Saturday, November 18, 2017 (est.)",Saturday → following Friday,~1 week,"A week of apartment viewings (over twenty units) leaves Jay with a meticulous folder but no clear winner. On Friday Luc guilt-trips him into a **blind date ""tomorrow""**; Jay reluctantly agrees, half-planning to call Ian for rescue if it goes badly.","Ian, Jay, Luc",,,,,,,,,,,,,,
Book 2,27,Shared traumas,Scene 1,Blind date,"Saturday, November 25, 2017 (est.)",Saturday (evening),same night,"At the gym even Rus pushes Jay toward the date and warns him off his boss — which only makes Jay defiant. The date is a disaster: a preening guest, **Yan**, mocks Jay as a ""funeral director"" and ""accidentally"" spills red wine on his best suit. Jay flees and texts Ian: ""The evening did go badly.""","Ian, Jay",The blind date,,,,,,,,,,,,,
Book 2,27,Shared traumas,Scene 2,Rescue,"Saturday, November 25, 2017 (night)",Saturday,same night,"Ian arrives within minutes, rushes the jacket to an emergency cleaner, and takes Jay for a drink. Jay drinks far more than usual (""being drunk is only dangerous when you're around people who'd take advantage — which you're not""); Ian half-carries him home and, worried, stays the night on the couch.","Ian, Jay",,,,,,,,,,,,,,
Book 2,27,Shared traumas,Scene 3,Accepting help,"Sunday, November 26, 2017 (est.)",Sunday (morning),same day,"Jay wakes mortified — not at impropriety but at having made his ""well-bred"" boss sleep on a shabby couch. Over breakfast Ian reveals his own past: disowned with nothing, he **sold his watch and lived eight years in a tiny studio** before rebuilding. The gap between their worlds narrows.","Ian, Jay",Ian's disownment/poverty backstory revealed,,,,,,,,,,,,,
Book 2,27,Shared traumas,Scene 4,Deepening bonds,"Sunday, November 26, 2017",Sunday,same day,"Each shares their deepest wound — Ian's self-blame for the Sam Connelly scandal, Jay's harassment at his first job and his mother's protective response. Jay hugs Ian, telling him ""it was not your fault."" Both feel the weight of unprecedented trust.","Ian, Jay, Sam",,,,,,,,,,,,,,
Book 2,27,Shared traumas,Scene 5,Weekend plans,"Sunday, November 26, 2017",Sunday,same day,"Over lunch Jay invites himself into Ian's weekend to force him to rest: he'll help with spreadsheets **next Saturday (Dec 2)** so Ian must take **Sunday (Dec 3)** off, and Jay will plan an outing. Both are quietly thrilled.","Ian, Jay","The ""weekend together"" is set",,,,,,,,,,,,,
Book 2,28,Unusually warm autumn,Scene 1,Practical considerations,"Monday, November 27, 2017 (est.)",Monday,1 day,"A new closeness colours the office. Luc reports the blind-date aftermath (Gav mortified, Yan disgraced). Jay calls Ian's recommended real-estate agent and books a Friday viewing.","Ian, Jay, Luc",,,,,,,,,,,,,,
Book 2,28,Unusually warm autumn,Scene 2,Great social transgression,"Tuesday, November 28, 2017 (est.)",Tuesday–Friday,~4 days,"Jay realizes he's keeping his weekend plans with Ian secret — and finds the secrecy thrilling rather than alarming. He plans a personal itinerary (ferry, pumpkin bistro, botanical garden). Friday's agent shows ten overpriced units.","Ian, Jay",,,,,,,,,,,,,,
Book 2,28,Unusually warm autumn,Scene 3,Weekend work,"Saturday, December 2, 2017 (est.)",Saturday,1 day,"Jay spends the day at Ian's penthouse doing spreadsheet work — first time truly in Ian's space (the retreat painting on the wall, May the housekeeper's fruit platters). Ian cooks; they talk about food, housing, and (briefly) Sam Connelly. Dinner out caps the day.","Ian, Jay, Sam",Jay's first day inside Ian's home,,,,,,,,,,,,,
Book 2,28,Unusually warm autumn,Scene 4,Sunday date,"Sunday, December 3, 2017 (est.)",Sunday,1 day,"Jay's ""not-a-date"": a scenic ferry ride, a rustic pumpkin-themed bistro, a botanical garden, caramel apples, and **feeding ducks**. Ian admits that during his studio years he ""never allowed himself"" any leisure. It is the most equal, domestic day they've shared — and afterward Jay is hollowed by melancholy.","Ian, Jay","The autumn ""date""",,,,,,,,,,,,,
Book 2,28,Unusually warm autumn,Scene 5,Gloom,"Monday, December 4, 2017 (est.)",Monday onward (~1 week),~1 week,"Back behind the glass wall, both ache for what the weekend revealed and can't name it. They blame the dim late-autumn weather; Jay skips dinners and grows worried he's catching something.",Jay,,"The prose's ""as November slowly ended"" lags the calendar (this is early December) — see flags.",,,,,,,,,,,,
Book 2,29,Choices,Scene 1,The perfect apartment,"Thursday, December 7, 2017 (est.)",Thursday,1 day,"Ian's agent shows Jay a flawless, fully-furnished riverside flat — balcony, river view, twelve minutes' walk from Ian's building — for a suspiciously low 1.5 million. Jay is charmed and deeply distrustful, certain it's ""another elaborate plot.""","Ian, Jay",Jay finds (and fears) the riverside apartment,,,,,,,,,,,,,
Book 2,29,Choices,Scene 2,Manipulation,"Friday, December 8, 2017 (est.)",Friday,1 day,"Jay asks Ian about the agent's reliability; Ian (who secretly bribed the agent to settle Jay near him) deflects. The team mostly cheers the deal; only Max and Kim are cautious. Jay senses an ""undercurrent of manipulation"" he can't decode.","Ian, Jay, Kim, Max",,,,,,,,,,,,,,
Book 2,29,Choices,Scene 3,Adventures with friends,"Saturday, December 9, 2017 (est.)",Saturday,1 day,"Rus (echoing Ian) urges Jay to seize the apartment. Their ""fun activity"" is **outdoor laser tag** in cold drizzle — wet, filthy, miserable. Jay declines an Ian rescue but a check-in text lifts his mood.","Ian, Jay","Laser tag (the second disastrous ""fun"" outing)",,,,,,,,,,,,,
Book 2,29,Choices,Scene 4,Indecision,"Sunday, December 10, 2017 (est.)",Sunday → following Friday,~1 week,"Jay splurges on a spa day, then canvasses everyone — mother, Fay, more viewings — about the apartment; all encourage him. He gets his **flu vaccination (~Wed Dec 13)**. ""November had ended"" and the gloom deepens his fear of a major decision.",Jay,,,,,,,,,,,,,,
Book 2,29,Choices,Scene 5,Christmas trees,"Monday, December 18, 2017 (est.)",Monday,1 day,"The office decorating splits into two trees, separating Jay and Ian — so Ian orders a small tree for his office and they decorate it alone (gold and silver, ""for his hair"" / ""for his eyes""). Jay decides to **delay the apartment choice until after Christmas** and to spend the holiday with Ian rather than face his step-grandparents.","Ian, Jay",Office Christmas decorating; Jay chooses to spend Christmas with Ian,Tree-decorating placement vs. the Christmas party is approximate — see flags.,,,,,,,,,,,,
Book 2,30,Winter lights,Scene 1,Anticipation,"Friday, December 22, 2017 (est.)",Friday,1 day (+ weekend),"The **company Christmas party** (jewellery-voucher gifts this year). Jay then spends the weekend gift-shopping for his family, choosing his own first cologne and an engraved lighter (""You've got this"") for Ian.","Ian, Jay",Company Christmas party,Dated as the last pre-holiday Friday; gift-shipping timing is tight — see flags.,,,,,,,,,,,,
Book 2,30,Winter lights,Scene 2,Christmas Day,"Monday, December 25, 2017",Monday,1 day,"Jay spends Christmas at Ian's: they decorate a tree, cook a feast in matching aprons, and exchange gifts (the lighter; sapphire **cufflinks and tiepin** for Jay). A perfect, domestic, mutually adoring day — neither crosses the line.","Ian, Jay",Christmas Day together; Ian's cufflinks/tiepin gift,,,,,,,,,,,,,
Book 2,30,Winter lights,Scene 3,After Christmas,"Tuesday, December 26, 2017",Tuesday–Friday,~4 days,"The skeleton-crew holiday week (Jay, Luc, Zoe, Ian). Jay caters daily bakery lunches; he and Ian drift to the lounge each evening, the glass wall ""dissolved."" Luc's promotion talk visibly tenses Ian.","Ian, Jay, Luc, Zoe",,,,,,,,,,,,,,
Book 2,30,Winter lights,Scene 4,New Year's Eve,"Sunday, December 31, 2017",Sunday,1 day,"Work ends at 3 p.m. and Ian repeats last year's **whiskey toast** — now ""a tradition."" A long handshake with Jay. At midnight Jay texts ""thank you for making this year extraordinary,"" and Ian answers at once.","Ian, Jay",New Year's Eve whiskey toast (Dec 31),,,,,,,,,,,,,
Book 2,30,Winter lights,Scene 5,Moving forward,"Tuesday, January 2, 2018",Tuesday → late January,~4 weeks,"**Annual reporting** roars back; Jay's **year-end bonus is more than double his entire previous year's income**. After a brutal two weeks, the **annual black-tie gala (Sat Jan 20, 2018)** — Ian, rattled by a nightmare of Jay dying, must fly out Thursday for a client emergency and cancels their planned day out. They drink at Jay's old studio; Ian slips out ""You looked beautiful tonight."" Jay decides to **buy the apartment**; he meets the (improbably generous) mortgage bank Ian arranged, and the month ends with strategy season looming.","Ian, Jay",Year-end bonus; annual gala; Jay commits to the apartment,"Gala dated Sat Jan 20, matching the real calendar (cf. Book 1's January gala).",,,,,,,,,,,,
Book 2,31,Things that slip through fingers,Scene 1,Flood,"Wednesday, February 7, 2018 (est.)",Wednesday,1 day,"A wet, snowless winter. A citywide metro flood makes Jay an hour late to re-view the riverside flat; the swollen river and dark parks feel ominous and he takes the contract home unsigned. He drifts to Ian's neighbourhood; they share bitter tea.","Ian, Jay",,,,,,,,,,,,,,
Book 2,31,Things that slip through fingers,Scene 2,Database drama,"Friday, February 9, 2018 (est.)",Friday,1 day,"Deep in strategy season, Jay accidentally **drops a database table** (the analytical scoring history, no backup) — the exact error he was trained to avoid. Ian calmly summons emergency IT; Jay goes home and cries himself to sleep.","Ian, Jay",Jay's dropped-table error,,,,,,,,,,,,,
Book 2,31,Things that slip through fingers,Scene 3,Packing,"Saturday, February 10, 2018 (est.)",Saturday–Monday,3 days,"Jay numbly packs his studio over the weekend (uncovering his **10,000-cash emergency envelope**), doubting both the move and the job. **Monday (Feb 12)** IT restores the table — but the relief doesn't dent his conviction that he's fundamentally deficient.",Jay,,,,,,,,,,,,,,
Book 2,31,Things that slip through fingers,Scene 4,Dread,"Tuesday, February 13, 2018 (est.)",Tuesday–Friday,~4 days,Jay realizes he **threw out the cash envelope** with the trash (collected Monday — gone). The personal failure crushes him; he **cancels the apartment purchase** and fantasizes about retreating to a low-stakes life. Friday Ian gently checks in; Jay shuts him out.,"Ian, Jay",Jay loses his emergency savings; cancels the apartment,,,,,,,,,,,,,
Book 2,31,Things that slip through fingers,Scene 5,Faith,"Saturday, February 17, 2018 (est.)",Saturday onward (~2 weeks),~2 weeks,"""The next two weeks were filled with self-pity."" Rus, Luc, and Ian all try and fail to reach Jay. Ian — buried in the fourteen-hour days his own decisions created — watches helplessly, the lighter's ""You've got this"" mocking him, as Jay ""slowly disappears.""","Ian, Jay, Luc",,,,,,,,,,,,,,
Book 2,32,Alternatives,Scene 1,Job search,"Sunday, February 25, 2018 (est.)",late February → early March,~1.5 weeks,"Jay polishes his CV and blasts fifty-plus firms; a week of silence batters his ego further. ""As March started,"" a consulting firm finally offers an interview.",Jay,Jay begins job-hunting,,,,,,,,,,,,,
Book 2,32,Alternatives,Scene 2,Requesting a day off,"Monday, March 5, 2018 (est.)",Monday,1 day,"HR's third email announces the **company retreat — a lakeside mountain resort, end of May, singles rooms**. The team buzzes over activities; Jay reads it knowing he likely won't be there. He requests Thursday off (for the interview) without explanation.",Jay,May retreat announced (single rooms this year),,,,,,,,,,,,,
Book 2,32,Alternatives,Scene 3,The interview,"Thursday, March 8, 2018 (est.)",Thursday,1 day,"Jay interviews at a mid-sized firm (half his salary) and is startlingly relaxed — months at the top have seasoned him. He lies smoothly about wanting ""career development,"" then goes home and weeps at the thought of never seeing Ian again.","Ian, Jay",,,,,,,,,,,,,,
